Bay,Fixture,Position,UPC,Facings,New/Chg,Product Description,Size,Height,Width,Merch
4,4,5,0087176000278,1,,BABY BUM SPF 50 MIN SUNSR,3 OZ,5.70 in,2.10 in,Unit
4,4,6,0081015096142,1,,DRCLD HYDR GEL SUN PTCHS,0.14 OZ,6.00 in,4.75 in,Unit
4,4,7,0081015096026,1,,DRCLD SNNY DFNS SPF STK,0.69 OZ,4.00 in,3.00 in,Unit
4,4,8,0081015096176,1,,DRCLD TN PRFCT SPF CSHN,0.53 FO,4.00 in,4.25 in,Unit
4,4,9,0081015096028,1,,DRCLD LMNS AQUA SUN MST,3.53 FO,5.50 in,3.50 in,Unit
4,3,1,0081002017596,1,,BNDSNDS SELF TAN FOAM L/M,5.07 FO,7.83 in,1.89 in,Unit
4,3,2,0081002017595,1,,BNDSNDS SELF TAN FOAM DRK,5.07 FO,7.83 in,1.89 in,Unit
4,3,3,0081002017599,1,NEW,BNDSNDS SELF TANNING FOAM,5.07 FO,7.83 in,1.89 in,Unit
4,3,4,0070906900006,1,,MBABE BROWNING LOTION,8 FO,6.81 in,2.00 in,Unit
4,3,5,0506048979399,1,NEW,TANOLOGIST DAILY GL,8.45 FO,8.52 in,3.03 in,Unit
4,3,6,0506048979400,1,NEW,TANOLOGIST DAILY GL,8.45 FO,8.52 in,3.03 in,Unit
4,3,7,0506048979383,1,NEW,TANOLOGIST DAILY GL,8.45 FO,8.52 in,3.03 in,Unit
4,3,8,0506048979384,1,NEW,TANOLOGIST DAILY GL,8.45 FO,8.52 in,3.03 in,Unit
4,3,9,0506048979388,1,NEW,TINTED MOUSSE MEDIUM 200ML,6.76 fl...,8.03 in,1.94 in,Unit
4,3,10,0081015096024,1,,DRCLD TNE BLR SNSCREEN,1.76 FO,5.50 in,2.00 in,Unit
4,3,11,0081015096172,1,,DRCLD BDY GLZ ESS SNSCR,3.53 FO,5.50 in,3.50 in,Unit
4,2,1,0007214003823,1,,CPRTN TANNING LTN SPF15,5 OZ,7.29 in,2.08 in,Unit
4,2,2,0934710800308,1,,BTAN TNNED AF TN OIL SPR,8 FO,7.00 in,2.60 in,Unit
4,2,3,0007548608743,1,,HWTRP DARK TANNING OIL,8 FO,6.86 in,2.74 in,Unit
4,2,4,0007548608872,1,NEW,HWTRP GLDTN DRY OIL SPF15,8 FO,7.86 in,2.80 in,Unit
4,2,5,0007548608855,1,NEW,HWTRP DRK TN OIL SPR SPF6,8 FO,6.86 in,2.80 in,Unit
4,2,6,0934710801686,1,,B.TAN GLOW YOUR OWN GEL,16 FO,7.53 in,3.50 in,Unit
4,2,7,0934710803136,1,,BTAN GL YR OWN WY TAN GEL,16 FO,7.53 in,3.50 in,Unit
4,2,8,0934710804649,1,,BTAN GLW YR OWN WY TN GEL,16 FO,7.58 in,3.50 in,Unit
4,2,9,0934710805107,1,NEW,B.TAN THERE YOU GLO,6.7 FO,3.27 in,3.67 in,Unit
4,1,1,0005440233079,1,,AUST GLD BRNZ SPRY,8 FO,7.88 in,2.80 in,Unit
4,1,2,0005440233091,1,,AUST GLD CNT SPRY SPF 15,6 OZ,8.00 in,2.00 in,Unit
4,1,3,0934710800286,1,,LOVE AT FIRST TAN,6.7 FO,7.88 in,1.95 in,Unit
4,1,4,0934710800873,1,,BTAN TNND AF SLF TN MOUSS,6.7 FO,8.00 in,1.95 in,Unit
4,1,5,0934710800100,1,,BTAN IWTDTP SLF TAN MOSSE,6.7 FO,7.88 in,1.95 in,Unit
4,1,6,0007965604663,1,,BBOAT DRY OIL DP UM SPF4,6 OZ,7.36 in,2.13 in,Unit
4,1,7,0007965604450,1,,BBOAT DRY OIL SPF8,6 OZ,8.00 in,2.00 in,Unit
4,1,8,0007965604647,1,,BBOAT DRY OIL SPF25,6 OZ,7.36 in,2.13 in,Unit
4,1,9,0007965600780,1,,BB SLESS LTN LT/MD,6 FO,6.40 in,3.00 in,Unit
4,1,10,0007965600781,1,,BB SLESS LTN DP/DK,6 FO,6.40 in,3.00 in,Unit
4,1,11,0934710800213,1,,BTAN IDWTOMH TAN MITT,1 CT,10.00 in,4.00 in,Unit
